Time & Date,Country,Event,Actual,Previous,Consensus,Forecast
Monday April 01 2019,,,Actual,Previous,Consensus,Forecast
6:00 AM,RO,Unemployment Rate FEB,3.80%,3.90%,,3.70%
6:15 AM,ES,Markit Manufacturing PMI MAR,50.9,49.9,49.6,50
6:45 AM,IT,Markit/ADACI Manufacturing PMI MAR,47.4,47.7,47.4,47.6
6:50 AM,FR,Markit Manufacturing PMI Final MAR,49.7,51.5,49.8,49.8
6:55 AM,DE,Markit Manufacturing PMI Final MAR,44.1,47.6,44.7,44.7
7:00 AM,EA,Markit Manufacturing PMI Final MAR,47.5,49.3,47.6,47.6
7:20 AM,AT,Unemployment Rate MAR,7.40%,8.40%,,7.70%
8:00 AM,IT,Unemployment Rate FEB,10.70%,10.50%,10.50%,10.20%
8:30 AM,GB,Markit/CIPS Manufacturing PMI MAR,55.1,52.1 ®,51,49.5
9:00 AM,EA,Core Inflation Rate YoY Flash MAR,0.80%,1%,0.90%,1%
9:00 AM,EA,Inflation Rate YoY Flash MAR,1.40%,1.50%,1.40%,1.60%
9:00 AM,EA,Unemployment Rate FEB,7.80%,7.80%,7.80%,7.80%
1:00 PM,EA,ECB Guindos Speech,,,,
3:15 PM,DE,Bundesbank Wuermeling Speech,,,,
4:00 PM,DE,Bundesbank Balz Speech,,,,
Tuesday April 02 2019,,,Actual,Previous,Consensus,Forecast
7:00 AM,EA,ECB Praet Speech,,,,
7:00 AM,ES,Unemployment Change MAR,-34K,3.3K,-33.3K,-38.6K
8:30 AM,GB,Construction PMI MAR,49.7,49.5,49.8,49.1
9:00 AM,CY,Unemployment Rate FEB,7.10%,7.3% ®,,8.90%
9:40 AM,RO,Interest Rate Decision,2.50%,2.50%,2.50%,2.50%
10:00 AM,IE,Unemployment Rate MAR,5.40%,5.60%,,5.50%
5:30 PM,DE,Bundesbank Mauderer Speech,,,,
Wednesday April 03 2019,,,Actual,Previous,Consensus,Forecast
7:15 AM,ES,Markit Services PMI MAR,56.8,54.5,55,52.5
7:45 AM,IT,Markit/ADACI Services PMI MAR,53.1,50.4,50.8,50.1
7:50 AM,FR,Markit Services PMI Final MAR,49.1,50.2,48.7,48.7
7:55 AM,DE,Markit Services PMI Final MAR,55.4,55.3,54.9,54.9
8:00 AM,EA,Markit Services PMI Final MAR,53.3,52.8,52.7,52.7
8:30 AM,GB,Markit/CIPS UK Services PMI MAR,48.9,51.3,50.9,50.5
9:00 AM,EA,Retail Sales MoM FEB,0.40%,0.9% ®,0.20%,0.40%
9:00 AM,EA,Retail Sales YoY FEB,2.80%,2.20%,2.30%,1.80%
11:25 AM,PL,Interest Rate Decision,1.50%,1.50%,1.50%,1.50%
Thursday April 04 2019,,,Actual,Previous,Consensus,Forecast
4:30 AM,NL,Inflation Rate YoY MAR,2.80%,2.60%,,2.60%
6:00 AM,DE,Factory Orders MoM FEB,-4.20%,-2.1% ®,0.30%,0.50%
7:30 AM,DE,Construction PMI MAR,55.6,54.7,,54
11:30 AM,EA,ECB Monetary Policy Meeting Accounts,,,,
Friday April 05 2019,,,Actual,Previous,Consensus,Forecast
6:00 AM,DE,Industrial Production MoM FEB,0.70%,0.0% ®,0.50%,0.70%
